cluster,,Occupation
1,,Chief Executives
1,,Chief Sustainability Officers
1,,General and Operations Managers
1,,Marketing Managers
1,,Sales Managers
1,,Administrative Services Managers
1,,Computer and Information Systems Managers
1,,Treasurers and Controllers
1,,"Financial Managers, Branch or Department"
1,,Hydroelectric Production Managers
1,,Purchasing Managers
1,,Transportation Managers
1,,Storage and Distribution Managers
1,,Logistics Managers
1,,Compensation and Benefits Managers
1,,Human Resources Managers
1,,Aquacultural Managers
1,,Construction Managers
1,,"Education Administrators, Preschool and Childcare Center/Program"
1,,"Education Administrators, Postsecondary"
1,,Distance Learning Coordinators
1,,Fitness and Wellness Coordinators
1,,Architectural and Engineering Managers
1,,Gaming Managers
1,,Lodging Managers
1,,Medical and Health Services Managers
1,,Clinical Research Coordinators
1,,Postmasters and Mail Superintendents
1,,"Property, Real Estate, and Community Association Managers"
1,,Emergency Management Directors
1,,Regulatory Affairs Managers
1,,Compliance Managers
1,,Investment Fund Managers
1,,Supply Chain Managers
1,,Security Managers
1,,Loss Prevention Managers
1,,Wind Energy Operations Managers
1,,Wind Energy Project Managers
1,,Brownfield Redevelopment Specialists and Site Managers
1,,"Buyers and Purchasing Agents, Farm Products"
1,,"Wholesale and Retail Buyers, Except Farm Products"
1,,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
1,,"Claims Examiners, Property and Casualty Insurance"
1,,"Insurance Adjusters, Examiners, and Investigators"
1,,"Insurance Appraisers, Auto Damage"
1,,Equal Opportunity Representatives and Officers
1,,Government Property Inspectors and Investigators
1,,Regulatory Affairs Specialists
1,,Cost Estimators
1,,Human Resources Specialists
1,,Labor Relations Specialists
1,,Logisticians
1,,Logistics Analysts
1,,Management Analysts
1,,Fundraisers
1,,"Compensation, Benefits, and Job Analysis Specialists"
1,,Security Management Specialists
1,,Customs Brokers
1,,Business Continuity Planners
1,,Online Merchants
1,,Accountants
1,,Auditors
1,,Assessors
1,,"Appraisers, Real Estate"
1,,Credit Analysts
1,,Personal Financial Advisors
1,,Insurance Underwriters
1,,Financial Examiners
1,,Credit Counselors
1,,Loan Officers
1,,"Tax Examiners and Collectors, and Revenue Agents"
1,,Tax Preparers
1,,Risk Management Specialists
1,,"Fraud Examiners, Investigators and Analysts"
1,,Telecommunications Engineering Specialists
1,,Information Technology Project Managers
1,,Clinical Data Managers
1,,Product Safety Engineers
1,,Soil and Water Conservationists
1,,Range Managers
1,,Foresters
1,,Industrial-Organizational Psychologists
1,,Urban and Regional Planners
1,,City and Regional Planning Aides
1,,Lawyers
1,,Judicial Law Clerks
1,,"Administrative Law Judges, Adjudicators, and Hearing Officers"
1,,Archivists
1,,"Umpires, Referees, and Other Sports Officials"
1,,"Opticians, Dispensing"
1,,Forest Fire Inspectors and Prevention Specialists
1,,Private Detectives and Investigators
1,,Spa Managers
1,,First-Line Supervisors of Non-Retail Sales Workers
1,,Parts Salespersons
1,,Retail Salespersons
1,,Advertising Sales Agents
1,,Insurance Sales Agents
1,,"Sales Agents, Securities and Commodities"
1,,"Sales Agents, Financial Services"
1,,Securities and Commodities Traders
1,,Travel Agents
1,,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
1,,Solar Sales Representatives and Assessors
1,,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
1,,Real Estate Brokers
1,,Real Estate Sales Agents
1,,Sales Engineers
1,,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers"
1,,First-Line Supervisors of Office and Administrative Support Workers
1,,Bill and Account Collectors
1,,Loan Interviewers and Clerks
1,,New Accounts Clerks
1,,Cargo and Freight Agents
1,,Freight Forwarders
1,,"Dispatchers, Except Police, Fire, and Ambulance"
1,,Computer Operators
1,,Solar Energy Installation Managers
1,,Electronic Home Entertainment Equipment Installers and Repairers
1,,First-Line Supervisors of Production and Operating Workers
1,,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
