,Occupation,Critical Problem Solving and Repetitive Work,Negotition and Leadership Capacity,Hazardous Environment,Empathy and Social Percetiveness,Artistic Ability,Coordination Capacity,Finger Dexterity
,,,,,,,,
,,,,,,,,
1,Chief Executives,0.939782651,2.903403843,0.039086731,0.105603756,-0.143930775,0.893345082,-0.74263212
2,Chief Sustainability Officers,0.675020425,1.571248615,0.540040184,-0.724720266,0.896154249,0.672171106,-0.817876969
3,General and Operations Managers,-0.14864763,2.0370093,0.021673507,-0.025295994,-0.74967677,1.142904688,-1.374728125
5,Advertising and Promotions Managers,-0.070412133,0.553414996,1.001635535,-0.065949969,1.455724465,0.486583274,-1.108488117
7,Marketing Managers,-0.185274537,2.084301679,0.92967127,-0.869602446,0.907230377,0.773365797,-0.991650321
8,Sales Managers,-0.114704374,2.710721043,0.616462948,-0.463198267,0.426367685,0.191592031,-0.740151088
9,Public Relations and Fundraising Managers,-0.451706898,1.574288503,1.143587881,0.283066134,1.231717028,0.475959829,-0.743180699
10,Administrative Services Managers,-0.176068669,1.221291246,0.598621551,-0.277158537,-0.484268859,1.076106969,0.29141148
11,Computer and Information Systems Managers,0.50807619,1.199314028,0.664603176,-0.627427342,-0.19906663,1.611253736,0.494167936
13,Treasurers and Controllers,1.088092003,1.19243167,0.907555349,-1.209791792,-0.41568177,1.083594727,-0.20418837
14,"Financial Managers, Branch or Department",0.101544962,1.687011067,1.118079177,-0.420227871,-0.764004743,0.602217604,-0.459010861
15,Industrial Production Managers,0.272785115,1.96032455,-0.593473352,-0.048191527,-0.181624917,1.087695809,-0.527726871
16,Quality Control Systems Managers,1.195735106,0.390344671,-0.427527902,-0.215494342,-0.541962257,0.951969456,0.644408741
17,Geothermal Production Managers,0.66576699,1.23454043,-1.169007887,0.208680588,0.07133569,1.116224407,-0.513442864
18,Biofuels Production Managers,0.600423485,1.081547692,-1.055463055,-0.281561663,-0.402475023,1.079536385,-1.063295148
19,Biomass Power Plant Managers,0.662390531,1.154686918,-1.35634433,0.025419991,-0.590107467,1.245301704,-1.012729424
21,Hydroelectric Production Managers,0.582066363,1.593700654,-0.662833008,-0.508145795,-0.492415443,0.530916016,-0.801238429
22,Purchasing Managers,-0.307457133,2.580177886,1.130011334,-0.794725318,-0.509560798,0.601934898,-0.836319035
24,Transportation Managers,0.02218674,1.487338098,0.071105097,-0.155297524,-0.235617583,1.541622389,-0.717665243
25,Storage and Distribution Managers,0.103603066,1.898637948,-0.182316958,-0.447303993,-0.136913521,0.458446397,-0.536723181
26,Logistics Managers,0.240915808,1.955369655,0.136111326,-0.801812093,-0.41552951,0.418241871,-0.921947801
27,Compensation and Benefits Managers,0.233947439,1.280559312,1.29776525,-0.315620578,-0.621322739,0.156043125,-0.191956506
28,Human Resources Managers,0.008283628,2.569822209,0.746052548,0.55073023,-0.213819914,0.10713906,-0.165876506
29,Training and Development Managers,-0.076427401,1.967403837,0.666234513,0.411506547,0.904096437,0.471130868,-0.123533014
31,Nursery and Greenhouse Managers,0.099625185,2.011128999,-1.333607288,0.149119943,1.074312279,0.732390657,-0.214038756
