,,,,,,
Knowledge,Skill ,Abilities ,Work activities,Work Context,Interests,Work Style
,,,,,,
Administration and Management,Social Perceptiveness,Originality,Resolving Conflicts and Negotiating with Others,Work With Work Group or Team,Investigative,Cooperation
,Judgment and Decision Making,MathematicReasoning,Thinking Creatively,Very Hot or Cold Temperatures,Artistic,Leadership
Fine Arts,,,,,,
,,,,,,
Psychology,Critical Thinking,Manual Dexterity,Establishing and Maintaining Interpersonal Relationships,Exposed to Contaminants,Social,Innovation
Philosophy and Theology,Negotiation,Finger Dexterity,Developing Objectives and Strategies,Coordinate or Lead Others,,Concern for Others
,Persuasion,Written Comprehen-sion,Making Decisions and Solving Problems,Exposed to Hazardous Conditions,,Social Orientation
,Coordination,Depth Perception,Selling or Influencing Others,Spend Time Making Repetitive Motions,,Analytical Thinking
,Complex Problem Solving,Oral Comprehen-sion,Developing and Building Teams,Exposed to Hazardous Equipment,,
,,Finger Dexterity,"Guiding, Directing, and Motivating Subordinates",Deal With Unpleasant or Angry People,,
,,,"Judging the Qualities of Things, Services, or People",,,
