,Basic Problem Solving,Hazard,Dexterity,Type of Vulnerability,,,,,,,,,
,,,,,,,,,,,,,
Job,,,,,,,Type 1,Type 2,Type 3,Type 4,Type 5,Type 6,Type 7
,,,,,,,,,,,,,
Accountants,-,-,-,`,,,0,0,0,0,0,0,0
Actuaries,-,-,-,`,,,0,0,0,0,0,0,0
Acupuncturists,-,-,-,`,,,0,0,0,0,0,0,0
Acute Care Nurses,-,-,-,`,,,0,0,0,0,0,0,0
Adapted Physical Education Specialists,-,-,-,`,,,0,0,0,0,0,0,0
Adhesive Bonding Machine Operators and Tenders,-,1.19,-,2,,,0,2,0,0,0,0,0
"Administrative Law Judges, Adjudicators, and Hearing Officers",-,-,-,`,,,0,0,0,0,0,0,0
Administrative Services Managers,-,-,-,`,,,0,0,0,0,0,0,0
Adult Basic and Secondary Education and Literacy Teachers and Instructors,-,-,-,`,,,0,0,0,0,0,0,0
Advanced Practice Psychiatric Nurses,-,-,-,`,,,0,0,0,0,0,0,0
Advertising and Promotions Managers,-,-,-,`,,,0,0,0,0,0,0,0
Advertising Sales Agents,-1.14,-,-,1,,,1,0,0,0,0,0,0
Aerospace Engineering and Operations Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Aerospace Engineers,-,-,-,`,,,0,0,0,0,0,0,0
"Agents and Business Managers of Artists, Performers, and Athletes",-,-,-,`,,,0,0,0,0,0,0,0
Agricultural Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Agricultural Equipment Operators,-,1.41,-,2,,,0,2,0,0,0,0,0
Agricultural Inspectors,-,-,-,`,,,0,0,0,0,0,0,0
"Agricultural Sciences Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Agricultural Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Air Traffic Controllers,-,-,1.03,3,,,0,0,3,0,0,0,0
Aircraft Cargo Handling Supervisors,-,1.06,-,2,,,0,2,0,0,0,0,0
Aircraft Mechanics and Service Technicians,-,1.74,1.20,2-3,,,0,0,0,0,0,6,0
"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",-,1.12,-,2,,,0,2,0,0,0,0,0
Airfield Operations Specialists,-,1.03,-,2,,,0,2,0,0,0,0,0
"Airline Pilots, Copilots, and Flight Engineers",-,1.91,-,2,,,0,2,0,0,0,0,0
Allergists and Immunologists,-,-,-,`,,,0,0,0,0,0,0,0
"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",-,-,-,`,,,0,0,0,0,0,0,0
Amusement and Recreation Attendants,-2.43,-,-,1,,,1,0,0,0,0,0,0
Anesthesiologist Assistants,-,-,0.76,3,,,0,0,3,0,0,0,0
Anesthesiologists,-,-,1.13,3,,,0,0,3,0,0,0,0
Animal Breeders,-,-,-,`,,,0,0,0,0,0,0,0
Animal Control Workers,-,-,-,`,,,0,0,0,0,0,0,0
Animal Scientists,-,-,-,`,,,0,0,0,0,0,0,0
Animal Trainers,-,-,-,`,,,0,0,0,0,0,0,0
Anthropologists,-,-,-,`,,,0,0,0,0,0,0,0
"Anthropology and Archeology Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
"Appraisers, Real Estate",-,-,-,`,,,0,0,0,0,0,0,0
Aquacultural Managers,-,-,-,`,,,0,0,0,0,0,0,0
"Arbitrators, Mediators, and Conciliators",-,-,-,`,,,0,0,0,0,0,0,0
Archeologists,-,-,-,`,,,0,0,0,0,0,0,0
"Architects, Except Landscape and Naval",-,-,0.75,3,,,0,0,3,0,0,0,0
Architectural and Engineering Managers,-,-,-,`,,,0,0,0,0,0,0,0
Architectural Drafters,-,-,-,`,,,0,0,0,0,0,0,0
"Architecture Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Archivists,-,-,-,`,,,0,0,0,0,0,0,0
"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Art Directors,-,-,1.55,3,,,0,0,3,0,0,0,0
Art Therapists,-,-,1.02,3,,,0,0,3,0,0,0,0
"Art, Drama, and Music Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Assessors,-,-,-,`,,,0,0,0,0,0,0,0
Astronomers,-,-,-,`,,,0,0,0,0,0,0,0
Athletes and Sports Competitors,-,-,-,`,,,0,0,0,0,0,0,0
Athletic Trainers,-,-,-,`,,,0,0,0,0,0,0,0
Atmospheric and Space Scientists,-,-,-,`,,,0,0,0,0,0,0,0
"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Audio and Video Equipment Technicians,-,-,0.80,3,,,0,0,3,0,0,0,0
Audiologists,-,-,1.38,3,,,0,0,3,0,0,0,0
Audio-Visual and Multimedia Collections Specialists,-,-,0.83,3,,,0,0,3,0,0,0,0
Auditors,-,-,-,`,,,0,0,0,0,0,0,0
Automotive and Watercraft Service Attendants,-,1.44,-,2,,,0,2,0,0,0,0,0
Automotive Body and Related Repairers,-,1.05,-,2,,,0,2,0,0,0,0,0
Automotive Engineering Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Automotive Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Automotive Glass Installers and Repairers,-1.41,-,-,1,,,1,0,0,0,0,0,0
Automotive Master Mechanics,-,1.78,1.10,2-3,,,0,0,0,0,0,6,0
Automotive Specialty Technicians,-,1.95,-,2,,,0,2,0,0,0,0,0
Aviation Inspectors,-,-,-,`,,,0,0,0,0,0,0,0
Avionics Technicians,-,-,1.15,3,,,0,0,3,0,0,0,0
Baggage Porters and Bellhops,-1.30,-,-,1,,,1,0,0,0,0,0,0
Bailiffs,-1.60,-,-,1,,,1,0,0,0,0,0,0
Bakers,-1.43,-,-,1,,,1,0,0,0,0,0,0
Barbers,-1.38,-,1.55,1-3,,,0,0,0,0,5,0,0
Baristas,-2.06,-,1.15,1-3,,,0,0,0,0,5,0,0
Bartenders,-1.27,-,1.53,1-3,,,0,0,0,0,5,0,0
Bicycle Repairers,-,-,1.89,3,,,0,0,3,0,0,0,0
Bill and Account Collectors,-0.88,-,-,1,,,1,0,0,0,0,0,0
"Billing, Cost, and Rate Clerks",-1.05,-,-,1,,,1,0,0,0,0,0,0
Biochemical Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Biochemists and Biophysicists,-,-,-,`,,,0,0,0,0,0,0,0
Biofuels Processing Technicians,-,1.29,-,2,,,0,2,0,0,0,0,0
Biofuels Production Managers,-,1.04,-,2,,,0,2,0,0,0,0,0
Biofuels/Biodiesel Technology and Product Development Managers,-,-,-,`,,,0,0,0,0,0,0,0
Bioinformatics Scientists,-,-,-,`,,,0,0,0,0,0,0,0
Bioinformatics Technicians,-,-,-,`,,,0,0,0,0,0,0,0
"Biological Science Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Biological Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Biologists,-,-,-,`,,,0,0,0,0,0,0,0
Biomass Plant Technicians,-,1.48,-,2,,,0,2,0,0,0,0,0
Biomass Power Plant Managers,-,1.33,-,2,,,0,2,0,0,0,0,0
Biomedical Engineers,-,-,-,`,,,0,0,0,0,0,0,0
Biostatisticians,-,-,-,`,,,0,0,0,0,0,0,0
Boilermakers,-,1.97,-,2,,,0,2,0,0,0,0,0
"Bookkeeping, Accounting, and Auditing Clerks",-,-,-,`,,,0,0,0,0,0,0,0
Brickmasons and Blockmasons,-,1.53,-,2,,,0,2,0,0,0,0,0
Bridge and Lock Tenders,-,-,-,`,,,0,0,0,0,0,0,0
Broadcast News Analysts,-,-,-,`,,,0,0,0,0,0,0,0
Broadcast Technicians,-,-,-,`,,,0,0,0,0,0,0,0
Brokerage Clerks,-,-,-,`,,,0,0,0,0,0,0,0
Brownfield Redevelopment Specialists and Site Managers,-,-,-,`,,,0,0,0,0,0,0,0
Budget Analysts,-,-,-,`,,,0,0,0,0,0,0,0
Bus and Truck Mechanics and Diesel Engine Specialists,-,1.70,-,2,,,0,2,0,0,0,0,0
"Bus Drivers, School or Special Client",-,-,-,`,,,0,0,0,0,0,0,0
"Bus Drivers, Transit and Intercity",-1.18,-,-,1,,,1,0,0,0,0,0,0
Business Continuity Planners,-,-,-,`,,,0,0,0,0,0,0,0
Business Intelligence Analysts,-,-,-,`,,,0,0,0,0,0,0,0
"Business Teachers, Postsecondary",-,-,-,`,,,0,0,0,0,0,0,0
Butchers and Meat Cutters,-1.51,-,-,1,,,1,0,0,0,0,0,0
"Buyers and Purchasing Agents, Farm Products",-,-,-,`,,,0,0,0,0,0,0,0
Cabinetmakers and Bench Carpenters,-,1.12,1.22,2-3,,,0,0,0,0,0,6,0
Camera and Photographic Equipment Repairers,-,-,0.84,3,,,0,0,3,0,0,0,0
"Camera Operators, Television, Video, and Motion Picture",-,-,1.07,3,,,0,0,3,0,0,0,0
Cardiovascular Technologists and Technicians,-,-,1.66,3,,,0,0,3,0,0,0,0
"Career/Technical Education Teachers, Middle School",-,-,-,`,,,0,0,0,0,0,0,0
"Career/Technical Education Teachers, Secondary School",-,-,-,`,,,0,0,0,0,0,0,0
Cargo and Freight Agents,-,-,-,`,,,0,0,0,0,0,0,0
Carpet Installers,-0.88,-,-,1,,,1,0,0,0,0,0,0
Cartographers and Photogrammetrists,-,-,0.85,3,,,0,0,3,0,0,0,0
Cashiers,-1.72,-,-,1,,,1,0,0,0,0,0,0
Cement Masons and Concrete Finishers,-1.17,1.60,-,1-4,,,0,0,0,4,0,0,0
