     Cluster,,Occupations
3,,Nursery and Greenhouse Managers
3,,Farm and Ranch Managers
3,,Licensing Examiners and Inspectors
3,,Industrial Safety and Health Engineers
3,,Nuclear Equipment Operation Technicians
3,,Forest and Conservation Technicians
3,,Occupational Health and Safety Specialists
3,,Occupational Health and Safety Technicians
3,,First-Line Supervisors of Correctional Officers
3,,First-Line Supervisors of Police and Detectives
3,,Municipal Fire Fighting and Prevention Supervisors
3,,Forest Fire Fighting and Prevention Supervisors
3,,Municipal Firefighters
3,,Forest Firefighters
3,,Immigration and Customs Inspectors
3,,Fish and Game Wardens
3,,Police Patrol Officers
3,,Sheriffs and Deputy Sheriffs
3,,Transit and Railroad Police
3,,Animal Control Workers
3,,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
3,,Landscaping and Groundskeeping Workers
3,,"Pesticide Handlers, Sprayers, and Applicators, Vegetation"
3,,Tree Trimmers and Pruners
3,,"Morticians, Undertakers, and Funeral Directors"
3,,"Production, Planning, and Expediting Clerks"
3,,First-Line Supervisors of Logging Workers
3,,First-Line Supervisors of Aquacultural Workers
3,,First-Line Supervisors of Agricultural Crop and Horticultural Workers
3,,Agricultural Equipment Operators
3,,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
3,,Fallers
3,,First-Line Supervisors of Construction Trades and Extraction Workers
3,,Boilermakers
3,,Brickmasons and Blockmasons
3,,Construction Carpenters
3,,Rough Carpenters
3,,Cement Masons and Concrete Finishers
3,,Construction Laborers
3,,"Paving, Surfacing, and Tamping Equipment Operators"
3,,Pile-Driver Operators
3,,Operating Engineers and Other Construction Equipment Operators
3,,Electricians
3,,"Insulation Workers, Mechanical"
3,,Pipelayers
3,,Pipe Fitters and Steamfitters
3,,Plumbers
3,,Reinforcing Iron and Rebar Workers
3,,Roofers
3,,Structural Iron and Steel Workers
3,,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters"
3,,Helpers--Carpenters
3,,Elevator Installers and Repairers
3,,Hazardous Materials Removal Workers
3,,Highway Maintenance Workers
3,,Rail-Track Laying and Maintenance Equipment Operators
3,,Septic Tank Servicers and Sewer Pipe Cleaners
3,,Weatherization Installers and Technicians
3,,"Derrick Operators, Oil and Gas"
3,,"Rotary Drill Operators, Oil and Gas"
3,,"Service Unit Operators, Oil, Gas, and Mining"
3,,"Earth Drillers, Except Oil and Gas"
3,,"Explosives Workers, Ordnance Handling Experts, and Blasters"
3,,Continuous Mining Machine Operators
3,,Mine Cutting and Channeling Machine Operators
3,,"Rock Splitters, Quarry"
3,,"Roof Bolters, Mining"
3,,"Roustabouts, Oil and Gas"
3,,Helpers--Extraction Workers
3,,"First-Line Supervisors of Mechanics, Installers, and Repairers"
3,,"Electric Motor, Power Tool, and Related Repairers"
3,,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
3,,Aircraft Mechanics and Service Technicians
3,,Automotive Master Mechanics
3,,Automotive Specialty Technicians
3,,Bus and Truck Mechanics and Diesel Engine Specialists
3,,Farm Equipment Mechanics and Service Technicians
3,,"Mobile Heavy Equipment Mechanics, Except Engines"
3,,Motorboat Mechanics and Service Technicians
3,,Outdoor Power Equipment and Other Small Engine Mechanics
3,,Recreational Vehicle Service Technicians
3,,Tire Repairers and Changers
3,,"Control and Valve Installers and Repairers, Except Mechanical Door"
3,,Heating and Air Conditioning Mechanics and Installers
3,,Refrigeration Mechanics and Installers
3,,Industrial Machinery Mechanics
3,,"Maintenance Workers, Machinery"
3,,Millwrights
3,,"Refractory Materials Repairers, Except Brickmasons"
3,,Electrical Power-Line Installers and Repairers
3,,Telecommunications Line Installers and Repairers
3,,"Maintenance and Repair Workers, General"
3,,Wind Turbine Service Technicians
3,,Commercial Divers
3,,Manufactured Building and Mobile Home Installers
3,,Riggers
3,,Signal and Track Switch Repairers
3,,Geothermal Technicians
3,,Fiberglass Laminators and Fabricators
3,,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
3,,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
3,,Metal-Refining Furnace Operators and Tenders
3,,"Pourers and Casters, Metal"
3,,"Model Makers, Metal and Plastic"
3,,"Patternmakers, Metal and Plastic"
3,,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
3,,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic"
3,,Tool and Die Makers
3,,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
3,,"Layout Workers, Metal and Plastic"
3,,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic"
3,,Printing Press Operators
3,,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
3,,"Model Makers, Wood"
3,,"Patternmakers, Wood"
3,,"Sawing Machine Setters, Operators, and Tenders, Wood"
3,,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
3,,Power Plant Operators
3,,Stationary Engineers and Boiler Operators
3,,Water and Wastewater Treatment Plant and System Operators
3,,Chemical Plant and System Operators
3,,Gas Plant Operators
3,,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
3,,Biofuels Processing Technicians
3,,Biomass Plant Technicians
3,,Hydroelectric Plant Technicians
3,,Chemical Equipment Operators and Tenders
3,,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
3,,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
3,,"Mixing and Blending Machine Setters, Operators, and Tenders"
3,,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
3,,"Cutters and Trimmers, Hand"
3,,"Cutting and Slicing Machine Setters, Operators, and Tenders"
3,,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
3,,"Inspectors, Testers, Sorters, Samplers, and Weighers"
3,,Segmental Pavers
3,,Medical Appliance Technicians
3,,Cooling and Freezing Equipment Operators and Tenders
3,,"Glass Blowers, Molders, Benders, and Finishers"
3,,Aircraft Cargo Handling Supervisors
3,,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
3,,Recycling Coordinators
3,,"Airline Pilots, Copilots, and Flight Engineers"
3,,Commercial Pilots
3,,Airfield Operations Specialists
3,,Locomotive Engineers
3,,Locomotive Firers
3,,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
3,,"Railroad Brake, Signal, and Switch Operators"
3,,Railroad Conductors and Yardmasters
3,,Sailors and Marine Oilers
3,,Ship and Boat Captains
3,,"Mates- Ship, Boat, and Barge"
3,,"Pilots, Ship"
3,,Motorboat Operators
3,,Ship Engineers
3,,Automotive and Watercraft Service Attendants
3,,Crane and Tower Operators
3,,Excavating and Loading Machine and Dragline Operators
3,,"Loading Machine Operators, Underground Mining"
3,,Hoist and Winch Operators
3,,Industrial Truck and Tractor Operators
3,,Gas Compressor and Gas Pumping Station Operators
3,,"Pump Operators, Except Wellhead Pumpers"
3,,Wellhead Pumpers
3,,Refuse and Recyclable Material Collectors
3,,Mine Shuttle Car Operators
3,,"Tank Car, Truck, and Ship Loaders"
3,,Dredge Operators
3,,Cleaners of Vehicles and Equipment
3,,Machine Feeders and Offbearers
3,,Fishers and Related Fishing Workers
3,,Hunters and Trappers
3,,Forest and Conservation Workers
3,,Log Graders and Scalers
3,,Logging Equipment Operators
6,,Loan Counselors
6,,Computer Network Support Specialists
6,,Electrical Drafters
6,,Paralegals and Legal Assistants
6,,Court Reporters
6,,"Title Examiners, Abstractors, and Searchers"
6,,Library Technicians
6,,Technical Writers
6,,Radio Operators
6,,Pharmacy Technicians
6,,Ophthalmic Medical Technicians
6,,Medical Records and Health Information Technicians
6,,Ophthalmic Medical Technologists
6,,Orderlies
6,,Medical Transcriptionists
6,,Pharmacy Aides
6,,Bailiffs
6,,Transportation Security Screeners
6,,"Cooks, Fast Food"
6,,"Cooks, Short Order"
6,,Bartenders
6,,"Combined Food Preparation and Serving Workers, Including Fast Food"
6,,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop"
6,,Baristas
6,,Waiters and Waitresses
6,,"Food Servers, Nonrestaurant"
6,,Dining Room and Cafeteria Attendants and Bartender Helpers
6,,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop"
6,,Gaming Supervisors
6,,Slot Supervisors
6,,Gaming Dealers
6,,Gaming and Sports Book Writers and Runners
6,,"Ushers, Lobby Attendants, and Ticket Takers"
6,,Amusement and Recreation Attendants
6,,"Locker Room, Coatroom, and Dressing Room Attendants"
6,,Barbers
6,,Manicurists and Pedicurists
6,,Shampooers
6,,Skincare Specialists
6,,First-Line Supervisors of Retail Sales Workers
6,,Cashiers
6,,Gaming Change Persons and Booth Cashiers
6,,Counter and Rental Clerks
6,,Demonstrators and Product Promoters
6,,Models
6,,Telemarketers
6,,"Switchboard Operators, Including Answering Service"
6,,Telephone Operators
6,,Statement Clerks
6,,"Billing, Cost, and Rate Clerks"
6,,"Bookkeeping, Accounting, and Auditing Clerks"
6,,Gaming Cage Workers
6,,Payroll and Timekeeping Clerks
6,,Procurement Clerks
6,,Tellers
6,,Brokerage Clerks
6,,Correspondence Clerks
6,,Court Clerks
6,,Municipal Clerks
6,,License Clerks
6,,Credit Authorizers
6,,Credit Checkers
6,,Customer Service Representatives
6,,"Eligibility Interviewers, Government Programs"
6,,File Clerks
6,,"Hotel, Motel, and Resort Desk Clerks"
6,,"Interviewers, Except Eligibility and Loan"
6,,"Library Assistants, Clerical"
6,,Order Clerks
6,,"Human Resources Assistants, Except Payroll and Timekeeping"
6,,Receptionists and Information Clerks
6,,Reservation and Transportation Ticket Agents and Travel Clerks
6,,Couriers and Messengers
6,,"Police, Fire, and Ambulance Dispatchers"
6,,Postal Service Clerks
6,,Postal Service Mail Carriers
6,,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
6,,"Stock Clerks, Sales Floor"
6,,Marking Clerks
6,,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
6,,"Order Fillers, Wholesale and Retail Sales"
6,,Executive Secretaries and Executive Administrative Assistants
6,,Legal Secretaries
6,,Medical Secretaries
